analysis_id,session_id,scenario_id,scenario_family,data_source,capture_scenario,encryption_plaintext,encryption_starttls,encryption_implicit,deprecated_tls,weak_cipher,expired_cert,not_yet_valid_cert,weak_key,auth_before_tls,tls_upgrade_failed,pfs_missing,self_signed,protocol_smtp,protocol_imap,protocol_pop3,critical_count,high_count,medium_count,low_count,tls_handshake_observed,certificate_observed,starttls_command_observed,authentication_observed,session_truncated,asymmetric_capture,risk_label
synthetic-00051,pop3-000200,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0043,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,0.0,1.0,1,1,1,2,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00051,smtp-000201,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0044,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,2,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00055,imap-000217,POSTURE_DEPRECATED_TLS_LEGACY-0045,POSTURE_DEPRECATED_TLS_LEGACY,CURATED_SYNTHETIC,FULL_SESSION,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,1,0,1.0,1.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00058,pop3-000228,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0046,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,1.0,1,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00058,smtp-000229,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0047,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00058,imap-000231,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0049,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00059,pop3-000232,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0050,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00059,smtp-000234,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0052,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00059,imap-000235,POSTURE_COMPOUNDING_FAILURES_NO_CRIT_COUNT-0053,POSTURE_COMPOUNDING_FAILURES_NO_CRIT_COUNT,CURATED_SYNTHETIC,FULL_SESSION,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,1,1,1.0,1.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00064,pop3-000252,POSTURE_OBSOLETE_WEAK_CIPHER-0054,POSTURE_OBSOLETE_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00066,imap-000262,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0055,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,1.0,0.0,1,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00067,smtp-000264,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0057,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00067,imap-000265,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0058,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00067,smtp-000266,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0059,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,2,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00067,imap-000267,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0060,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,1.0,0.0,0,2,1,1,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00068,pop3-000268,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0061,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00075,pop3-000296,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0063,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,1,1,2,2,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00075,pop3-000298,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0065,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,2,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00075,smtp-000299,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0066,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00076,smtp-000300,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0067,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,2,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00083,smtp-000330,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0070,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00083,smtp-000331,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0071,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00084,smtp-000332,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0072,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00084,smtp-000333,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0073,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00084,imap-000334,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0074,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,2,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00084,imap-000335,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE-0075,POSTURE_STARTTLS_EARLY_AUTH_FAILED_UPGRADE,CURATED_SYNTHETIC,MISSING_SERVER_HELLO,0.0,1.0,0.0,,,,,,1.0,1.0,,,0.0,1.0,0.0,1,2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00085,imap-000336,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0076,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00092,smtp-000365,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0078,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00092,imap-000367,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0080,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2,2,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00093,smtp-000368,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0081,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00093,smtp-000370,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0083,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00100,imap-000397,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED-0084,POSTURE_PLAINTEXT_TRAFFIC_UNENCRYPTED,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,1.0,0.0,1,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00100,smtp-000398,POSTURE_PLAINTEXT_WITH_AUTHENTICATION-0085,POSTURE_PLAINTEXT_WITH_AUTHENTICATION,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,1.0,0.0,0.0,2,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00100,imap-000399,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES-0086,POSTURE_PLAINTEXT_MULTIPLE_SENSITIVE_EXPOSURES,CURATED_SYNTHETIC,FULL_SESSION,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,CRITICAL
synthetic-00101,pop3-000400,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT-0087,POSTURE_STARTTLS_AUTH_BEFORE_TLS_STRICT,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00101,smtp-000401,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE-0088,POSTURE_STARTTLS_AUTH_BEFORE_TLS_PERMISSIVE,CURATED_SYNTHETIC,FULL_SESSION,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2,1,1,1.0,1.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00101,imap-000403,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER-0090,POSTURE_STARTTLS_EARLY_AUTH_WEAK_CIPHER,CURATED_SYNTHETIC,MISSING_CERTIFICATE,0.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,0.0,,0.0,1.0,0.0,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,CRITICAL
synthetic-00107,imap-000425,POSTURE_DEPRECATED_TLS_AND_WEAK_CIPHER-0091,POSTURE_DEPRECATED_TLS_AND_WEAK_CIPHER,CURATED_SYNTHETIC,FULL_SESSION,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0,1,1.0,1.0,0.0,1.0,0.0,0.0,CRITICAL
