analysis_id,session_id,scenario_id,scenario_family,data_source,encryption_plaintext,encryption_starttls,encryption_implicit,deprecated_tls,weak_cipher,expired_cert,not_yet_valid_cert,weak_key,auth_before_tls,tls_upgrade_failed,pfs_missing,self_signed,protocol_smtp,protocol_imap,protocol_pop3,critical_count,high_count,medium_count,low_count,risk_label
challenge-0003,chal-smtp-00011,CHALLENGE_BOUNDARY_LOW_MED_CERT_VISIBILITY-0011,CHALLENGE_BOUNDARY_LOW_MED_CERT_VISIBILITY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,,1.0,0.0,0.0,0,0,0,1,LOW
challenge-0004,chal-smtp-00012,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0012,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,HIGH
challenge-0004,chal-pop3-00013,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT-0013,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,1.0,0,0,2,1,CRITICAL
challenge-0004,chal-pop3-00014,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0014,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,0,MEDIUM
challenge-0004,chal-imap-00015,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED-0015,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,,0.0,1.0,0.0,0,1,0,1,HIGH
challenge-0005,chal-pop3-00016,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY-0016,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,2,1,1,1,CRITICAL
challenge-0005,chal-imap-00017,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0017,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,1,2,HIGH
challenge-0005,chal-pop3-00018,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0018,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,HIGH
challenge-0005,chal-smtp-00019,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0019,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,3,MEDIUM
challenge-0006,chal-pop3-00020,CHALLENGE_BOUNDARY_MED_HIGH_COMPOUNDING_MODERATE-0020,CHALLENGE_BOUNDARY_MED_HIGH_COMPOUNDING_MODERATE,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,2,2,HIGH
challenge-0006,chal-imap-00021,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0021,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,HIGH
challenge-0006,chal-pop3-00022,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0022,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,1,MEDIUM
challenge-0006,chal-smtp-00023,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED-0023,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,,1.0,0.0,0.0,0,1,0,0,HIGH
challenge-0007,chal-pop3-00024,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER-0024,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,HIGH
challenge-0007,chal-imap-00025,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS-0025,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,HIGH
challenge-0007,chal-imap-00026,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED-0026,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,HIGH
challenge-0007,chal-pop3-00027,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY-0027,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,1,2,1,1,CRITICAL
challenge-0008,chal-pop3-00028,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0028,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,2,2,HIGH
challenge-0008,chal-pop3-00029,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0029,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,HIGH
challenge-0008,chal-smtp-00030,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0030,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,4,MEDIUM
challenge-0008,chal-smtp-00031,CHALLENGE_BOUNDARY_LOW_MED_CERT_VISIBILITY-0031,CHALLENGE_BOUNDARY_LOW_MED_CERT_VISIBILITY,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,1.0,0.0,0.0,0,0,0,2,MEDIUM
challenge-0009,chal-imap-00032,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT-0032,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,0,0,1,0,CRITICAL
challenge-0009,chal-pop3-00033,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0033,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,0,MEDIUM
challenge-0009,chal-pop3-00034,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER-0034,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,2,2,0,HIGH
challenge-0009,chal-imap-00035,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS-0035,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,HIGH
challenge-0010,chal-smtp-00036,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED-0036,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,HIGH
challenge-0010,chal-smtp-00037,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0037,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3,2,1,HIGH
challenge-0010,chal-pop3-00038,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS-0038,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,1.0,0,0,0,0,CRITICAL
challenge-0010,chal-imap-00039,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0039,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,HIGH
challenge-0011,chal-imap-00040,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0040,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,4,MEDIUM
challenge-0011,chal-imap-00041,CHALLENGE_BOUNDARY_LOW_MED_MIN_FINDINGS-0041,CHALLENGE_BOUNDARY_LOW_MED_MIN_FINDINGS,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,1,3,MEDIUM
challenge-0011,chal-pop3-00042,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0042,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,HIGH
challenge-0011,chal-imap-00043,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT-0043,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,1.0,0.0,0,1,0,0,CRITICAL
challenge-0012,chal-pop3-00044,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0044,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,0,MEDIUM
challenge-0012,chal-imap-00045,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED-0045,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,,0.0,1.0,0.0,0,1,0,1,HIGH
challenge-0012,chal-smtp-00046,CHALLENGE_PARTIAL_CAPTURE_IMPLICIT_HIGH_NAN_CLEAN-0046,CHALLENGE_PARTIAL_CAPTURE_IMPLICIT_HIGH_NAN_CLEAN,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,,1.0,0.0,0.0,0,0,1,1,MEDIUM
challenge-0012,chal-pop3-00047,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER-0047,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,2,1,0,HIGH
challenge-0013,chal-imap-00048,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS-0048,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,HIGH
challenge-0013,chal-smtp-00049,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT-0049,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,HIGH
challenge-0013,chal-pop3-00050,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED-0050,CHALLENGE_RARE_NOT_YET_VALID_CERT_ISOLATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,HIGH
challenge-0013,chal-pop3-00051,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY-0051,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,2,1,1,1,CRITICAL
challenge-0014,chal-pop3-00052,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0052,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,2,2,HIGH
challenge-0014,chal-pop3-00053,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS-0053,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,1.0,0,0,0,0,CRITICAL
challenge-0014,chal-pop3-00054,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0054,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,HIGH
challenge-0014,chal-pop3-00055,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0055,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,4,MEDIUM
challenge-0015,chal-pop3-00056,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0056,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,HIGH
challenge-0015,chal-pop3-00057,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0057,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,1,MEDIUM
challenge-0015,chal-smtp-00058,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT-0058,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,HIGH
challenge-0015,chal-pop3-00059,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY-0059,CHALLENGE_RARE_POP3_PLAINTEXT_HIGH_ACTIVITY,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,1.0,0.0,,,0.0,0.0,1.0,1,2,1,1,CRITICAL
challenge-0016,chal-smtp-00060,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0060,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,1,1,HIGH
challenge-0016,chal-smtp-00061,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS-0061,CHALLENGE_ADVERSARIAL_CRITICAL_WITH_ZERO_FINDINGS,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,0.0,0.0,0,0,0,0,CRITICAL
challenge-0016,chal-pop3-00062,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0062,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,HIGH
challenge-0016,chal-pop3-00063,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0063,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,4,MEDIUM
challenge-0017,chal-smtp-00064,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0064,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,HIGH
challenge-0017,chal-smtp-00065,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT-0065,CHALLENGE_BOUNDARY_HIGH_CRIT_ZERO_CRIT_PLAINTEXT,CHALLENGE_SYNTHETIC,1.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,0.0,0.0,0,0,0,0,CRITICAL
challenge-0017,chal-pop3-00066,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER-0066,CHALLENGE_RARE_POP3_STARTTLS_LEGACY_CIPHER,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,2,0,0,HIGH
challenge-0017,chal-imap-00067,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS-0067,CHALLENGE_RARE_IMAP_DEPRECATED_TLS_WITH_PFS,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,HIGH
challenge-0018,chal-smtp-00068,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT-0068,CHALLENGE_RARE_SMTP_WEAK_CIPHER_WITH_CLEAN_CERT,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,HIGH
challenge-0018,chal-pop3-00069,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL-0069,CHALLENGE_ADVERSARIAL_MULTIPLE_HIGH_NO_CRIT_LABEL,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,1,1,HIGH
challenge-0018,chal-imap-00070,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT-0070,CHALLENGE_ADVERSARIAL_HIGH_WITH_ZERO_HIGH_COUNT,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,0,HIGH
challenge-0018,chal-smtp-00071,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT-0071,CHALLENGE_ADVERSARIAL_MED_WITH_HIGH_LOW_COUNT,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,4,MEDIUM
challenge-0019,chal-smtp-00072,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY-0072,CHALLENGE_BOUNDARY_MED_HIGH_ISOLATED_WEAK_KEY,CHALLENGE_SYNTHETIC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1,0,1,HIGH
challenge-0019,chal-pop3-00073,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3-0073,CHALLENGE_PARTIAL_CAPTURE_UNOBSERVED_CERT_POP3,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0,0,1,0,MEDIUM
challenge-0019,chal-pop3-00074,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED-0074,CHALLENGE_PARTIAL_CAPTURE_STARTTLS_NEGOTIATION_TRUNCATED,CHALLENGE_SYNTHETIC,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,,0.0,0.0,1.0,0,1,0,1,HIGH
